,사업장명,업종구분대분류,업종구분소분류,소재지전체주소,도로명전체주소,lat,lng
8192,혼술,일반음식점,한식,제주특별자치도 제주시 화북일동 1015-1,"제주특별자치도 제주시 화삼로1길 18, 1층 (화북일동)",33.5147694,126.5757021
8193,뉴욕버거제주외도점,일반음식점,기타,제주특별자치도 제주시 외도이동 235-2,"제주특별자치도 제주시 월대2길 11, 1층 (외도이동)",33.4925173,126.4338258
8194,더우동,일반음식점,일식,제주특별자치도 제주시 도남동 67-18 한아맨션,"제주특별자치도 제주시 도남로15길 4-9, 1층 101호 (도남동, 한아맨션)",33.4904421,126.5292672
8195,아방은어부어멍은해녀,일반음식점,일식,제주특별자치도 제주시 한림읍 한수리 830-4,"제주특별자치도 제주시 한림읍 한림상로 279, 1층",33.4229078,126.2657507
8196,제주베이통갈치구이,일반음식점,한식,제주특별자치도 제주시 외도이동 1956-2,"제주특별자치도 제주시 연대마을길 26-3, 2층 (외도이동)",33.4942854,126.4265928
8197,프랭크버거제주이도점,일반음식점,기타,제주특별자치도 제주시 아라이동 3011-1,"제주특별자치도 제주시 승천로 80, 1층 (아라이동)",33.4917235,126.5430329
8198,안트레밀,일반음식점,기타,제주특별자치도 제주시 이도이동 442-9,"제주특별자치도 제주시 남광로 107, 1층 (이도이동)",33.4975635,126.5458338
8199,여섯줄인생,일반음식점,한식,제주특별자치도 제주시 오라이동 1517-1 송우수자인빌,"제주특별자치도 제주시 연사2길 72, 104동 지1층 B101호 (오라이동, 송우수자인빌)",33.4826680,126.5118000
8200,팔방미인,일반음식점,기타,제주특별자치도 제주시 아라일동 6152-10,"제주특별자치도 제주시 인다15길 33, 1층 (아라일동)",33.4709916,126.5502299
8201,샤브앤샤브,일반음식점,한식,제주특별자치도 제주시 아라일동 6116-5,"제주특별자치도 제주시 인다2길 34, 2층 (아라일동)",33.4748029,126.5497428
8202,안,일반음식점,한식,제주특별자치도 제주시 연동 294-35,"제주특별자치도 제주시 노연로 134, 2층 (연동)",33.4854952,126.4945961
8203,베카신,일반음식점,기타,제주특별자치도 제주시 조천읍 선흘리 1813-4,"제주특별자치도 제주시 조천읍 우진오름길 144, 1층",33.4649524,126.7102128
8204,듬삭한,일반음식점,한식,제주특별자치도 제주시 한림읍 협재리 1398-2,"제주특별자치도 제주시 한림읍 한림로 450, 1층 101호",33.4002012,126.2494284
8205,꼬치의품격,일반음식점,호프/통닭,제주특별자치도 제주시 노형동 3785-5,"제주특별자치도 제주시 노형10길 21, 1층 (노형동)",33.4834110,126.4792563
8206,밥먹다,일반음식점,한식,제주특별자치도 제주시 도남동 74-1,제주특별자치도 제주시 연삼로 346 (도남동),33.4920256,126.5296163
8207,카페41번가,일반음식점,기타,제주특별자치도 제주시 애월읍 하귀1리 119-4 부용빌딩,"제주특별자치도 제주시 애월읍 하귀동남1길 41, 부용빌딩",33.4861690,126.4153609
8208,미호채김밥,일반음식점,한식,제주특별자치도 제주시 노형동 1068-13 광석주택,"제주특별자치도 제주시 다랑곶4길 33, 1층 102호 (노형동, 광석주택)",33.4890990,126.4789538
8209,재주,일반음식점,경양식,제주특별자치도 제주시 용담일동 417,"제주특별자치도 제주시 동한두기길 17, 2층 (용담일동)",33.5164464,126.5157813
